institution_code,institution_abbreviation,institution_name,metric,year,value
H08,KZN,University of Kwazulu-Natal,Coloured,2015,1010
H08,KZN,University of Kwazulu-Natal,Indian,2015,10763
H08,KZN,University of Kwazulu-Natal,White,2015,2140
H08,KZN,University of Kwazulu-Natal,Other,2015,246
H08,KZN,University of Kwazulu-Natal,Total,2015,45506
H08,KZN,University of Kwazulu-Natal,African,2016,33250
H08,KZN,University of Kwazulu-Natal,Coloured,2016,967
H08,KZN,University of Kwazulu-Natal,Indian,2016,10176
H08,KZN,University of Kwazulu-Natal,White,2016,1880
H08,KZN,University of Kwazulu-Natal,Other,2016,199
H08,KZN,University of Kwazulu-Natal,Total,2016,46472
H09,UL,University of Limpopo,African,2009,15940
H09,UL,University of Limpopo,Coloured,2009,27
H09,UL,University of Limpopo,Indian,2009,141
H09,UL,University of Limpopo,White,2009,191
H09,UL,University of Limpopo,Total,2009,16299
H09,UL,University of Limpopo,African,2010,17780
H09,UL,University of Limpopo,Coloured,2010,34
H09,UL,University of Limpopo,Indian,2010,155
H09,UL,University of Limpopo,White,2010,235
H09,UL,University of Limpopo,Other,2010,1
H09,UL,University of Limpopo,Total,2010,18205
H09,UL,University of Limpopo,African,2011,20063
H09,UL,University of Limpopo,Coloured,2011,35
H09,UL,University of Limpopo,Indian,2011,143
H09,UL,University of Limpopo,White,2011,263
H09,UL,University of Limpopo,Total,2011,20504
H09,UL,University of Limpopo,African,2012,21787
H09,UL,University of Limpopo,Coloured,2012,36
H09,UL,University of Limpopo,Indian,2012,149
H09,UL,University of Limpopo,White,2012,277
H09,UL,University of Limpopo,Total,2012,22249
H09,UL,University of Limpopo,African,2013,22478
