institution_code,institution_abbreviation,institution_name,year,gender,value
H17,UNIVEN,University of Venda,2014,Total,13497
H17,UNIVEN,University of Venda,2015,Female,7763
H17,UNIVEN,University of Venda,2015,Male,6383
H17,UNIVEN,University of Venda,2015,Other,
H17,UNIVEN,University of Venda,2015,Total,14146
H17,UNIVEN,University of Venda,2016,Female,8246
H17,UNIVEN,University of Venda,2016,Male,6991
H17,UNIVEN,University of Venda,2016,Other,
H17,UNIVEN,University of Venda,2016,Total,15237
H18,VUT,Vaal University of Technology,2009,Female,9054
H18,VUT,Vaal University of Technology,2009,Male,10353
H18,VUT,Vaal University of Technology,2009,Other,
H18,VUT,Vaal University of Technology,2009,Total,19407
H18,VUT,Vaal University of Technology,2010,Female,9961
H18,VUT,Vaal University of Technology,2010,Male,11455
H18,VUT,Vaal University of Technology,2010,Other,
H18,VUT,Vaal University of Technology,2010,Total,21416
H18,VUT,Vaal University of Technology,2011,Female,10043
H18,VUT,Vaal University of Technology,2011,Male,11818
H18,VUT,Vaal University of Technology,2011,Other,
H18,VUT,Vaal University of Technology,2011,Total,21861
H18,VUT,Vaal University of Technology,2012,Female,9655
H18,VUT,Vaal University of Technology,2012,Male,11546
H18,VUT,Vaal University of Technology,2012,Other,
H18,VUT,Vaal University of Technology,2012,Total,21201
H18,VUT,Vaal University of Technology,2013,Female,9424
H18,VUT,Vaal University of Technology,2013,Male,11209
H18,VUT,Vaal University of Technology,2013,Other,
H18,VUT,Vaal University of Technology,2013,Total,20633
H18,VUT,Vaal University of Technology,2014,Female,8882
H18,VUT,Vaal University of Technology,2014,Male,10437
H18,VUT,Vaal University of Technology,2014,Other,
