institution_code,institution_abbreviation,institution_name,year,gender,value
H14,UNISA,University of South Africa,2011,Male,126861
H14,UNISA,University of South Africa,2011,Other,1
H14,UNISA,University of South Africa,2011,Total,328864
H14,UNISA,University of South Africa,2012,Female,210313
H14,UNISA,University of South Africa,2012,Male,125972
H14,UNISA,University of South Africa,2012,Other,1
H14,UNISA,University of South Africa,2012,Total,336286
H14,UNISA,University of South Africa,2013,Female,223603
H14,UNISA,University of South Africa,2013,Male,131635
H14,UNISA,University of South Africa,2013,Other,2
H14,UNISA,University of South Africa,2013,Total,355240
H14,UNISA,University of South Africa,2014,Female,207949
H14,UNISA,University of South Africa,2014,Male,120541
H14,UNISA,University of South Africa,2014,Other,1
H14,UNISA,University of South Africa,2014,Total,328491
H14,UNISA,University of South Africa,2015,Female,215876
H14,UNISA,University of South Africa,2015,Male,122068
H14,UNISA,University of South Africa,2015,Other,
H14,UNISA,University of South Africa,2015,Total,337944
H14,UNISA,University of South Africa,2016,Female,193219
H14,UNISA,University of South Africa,2016,Male,106103
H14,UNISA,University of South Africa,2016,Other,2
H14,UNISA,University of South Africa,2016,Total,299324
H15,SU,University of Stellenbosch,2009,Female,13287
H15,SU,University of Stellenbosch,2009,Male,12406
H15,SU,University of Stellenbosch,2009,Other,
H15,SU,University of Stellenbosch,2009,Total,25693
H15,SU,University of Stellenbosch,2010,Female,14087
H15,SU,University of Stellenbosch,2010,Male,13257
H15,SU,University of Stellenbosch,2010,Other,
H15,SU,University of Stellenbosch,2010,Total,27344
H15,SU,University of Stellenbosch,2011,Female,13863
H15,SU,University of Stellenbosch,2011,Male,13403
H15,SU,University of Stellenbosch,2011,Other,
H15,SU,University of Stellenbosch,2011,Total,27266
H15,SU,University of Stellenbosch,2012,Female,13958
H15,SU,University of Stellenbosch,2012,Male,13552
H15,SU,University of Stellenbosch,2012,Other,
H15,SU,University of Stellenbosch,2012,Total,27510
H15,SU,University of Stellenbosch,2013,Female,14142
H15,SU,University of Stellenbosch,2013,Male,13276
H15,SU,University of Stellenbosch,2013,Other,
H15,SU,University of Stellenbosch,2013,Total,27418
H15,SU,University of Stellenbosch,2014,Female,15096
H15,SU,University of Stellenbosch,2014,Male,13773
H15,SU,University of Stellenbosch,2014,Other,
H15,SU,University of Stellenbosch,2014,Total,28869
H15,SU,University of Stellenbosch,2015,Female,15755
H15,SU,University of Stellenbosch,2015,Male,13858
H15,SU,University of Stellenbosch,2015,Other,
H15,SU,University of Stellenbosch,2015,Total,29613
H15,SU,University of Stellenbosch,2016,Female,16156
H15,SU,University of Stellenbosch,2016,Male,14004
H15,SU,University of Stellenbosch,2016,Other,1
H15,SU,University of Stellenbosch,2016,Total,30161
H16,TUT,Tshwane University of Technology,2009,Female,27674
H16,TUT,Tshwane University of Technology,2009,Male,25014
H16,TUT,Tshwane University of Technology,2009,Other,
H16,TUT,Tshwane University of Technology,2009,Total,52688
H16,TUT,Tshwane University of Technology,2010,Female,27179
H16,TUT,Tshwane University of Technology,2010,Male,24606
H16,TUT,Tshwane University of Technology,2010,Other,
H16,TUT,Tshwane University of Technology,2010,Total,51785
H16,TUT,Tshwane University of Technology,2011,Female,26104
H16,TUT,Tshwane University of Technology,2011,Male,23971
H16,TUT,Tshwane University of Technology,2011,Other,
H16,TUT,Tshwane University of Technology,2011,Total,50075
H16,TUT,Tshwane University of Technology,2012,Female,26586
H16,TUT,Tshwane University of Technology,2012,Male,25125
H16,TUT,Tshwane University of Technology,2012,Other,
H16,TUT,Tshwane University of Technology,2012,Total,51711
H16,TUT,Tshwane University of Technology,2013,Female,27508
H16,TUT,Tshwane University of Technology,2013,Male,26651
H16,TUT,Tshwane University of Technology,2013,Other,
H16,TUT,Tshwane University of Technology,2013,Total,54159
H16,TUT,Tshwane University of Technology,2014,Female,28523
H16,TUT,Tshwane University of Technology,2014,Male,28262
H16,TUT,Tshwane University of Technology,2014,Other,
H16,TUT,Tshwane University of Technology,2014,Total,56785
H16,TUT,Tshwane University of Technology,2015,Female,28569
H16,TUT,Tshwane University of Technology,2015,Male,28677
H16,TUT,Tshwane University of Technology,2015,Other,
H16,TUT,Tshwane University of Technology,2015,Total,57246
H16,TUT,Tshwane University of Technology,2016,Female,29567
H16,TUT,Tshwane University of Technology,2016,Male,29334
H16,TUT,Tshwane University of Technology,2016,Other,
H16,TUT,Tshwane University of Technology,2016,Total,58901
H17,UNIVEN,University of Venda,2009,Female,5934
H17,UNIVEN,University of Venda,2009,Male,5191
H17,UNIVEN,University of Venda,2009,Other,
H17,UNIVEN,University of Venda,2009,Total,11125
H17,UNIVEN,University of Venda,2010,Female,5786
H17,UNIVEN,University of Venda,2010,Male,4893
H17,UNIVEN,University of Venda,2010,Other,
H17,UNIVEN,University of Venda,2010,Total,10679
H17,UNIVEN,University of Venda,2011,Female,5560
H17,UNIVEN,University of Venda,2011,Male,4782
H17,UNIVEN,University of Venda,2011,Other,
H17,UNIVEN,University of Venda,2011,Total,10342
H17,UNIVEN,University of Venda,2012,Female,5593
H17,UNIVEN,University of Venda,2012,Male,4730
H17,UNIVEN,University of Venda,2012,Other,
H17,UNIVEN,University of Venda,2012,Total,10323
H17,UNIVEN,University of Venda,2013,Female,6438
H17,UNIVEN,University of Venda,2013,Male,5380
H17,UNIVEN,University of Venda,2013,Other,
H17,UNIVEN,University of Venda,2013,Total,11818
H17,UNIVEN,University of Venda,2014,Female,7490
H17,UNIVEN,University of Venda,2014,Male,6007
H17,UNIVEN,University of Venda,2014,Other,
