institution_code,institution_abbreviation,institution_name,metric,year,value
H18,VUT,Vaal University of Technology,FTEs,2014,12850.616
H18,VUT,Vaal University of Technology,Headcounts,2015,17678
H18,VUT,Vaal University of Technology,FTEs,2015,11649.428
H18,VUT,Vaal University of Technology,Headcounts,2016,19241
H18,VUT,Vaal University of Technology,FTEs,2016,12598.42
H19,WSU,Walter Sisulu University,Headcounts,2009,25356
H19,WSU,Walter Sisulu University,FTEs,2009,21360.172
H19,WSU,Walter Sisulu University,Headcounts,2010,26734
H19,WSU,Walter Sisulu University,FTEs,2010,22883.288
H19,WSU,Walter Sisulu University,Headcounts,2011,27029
H19,WSU,Walter Sisulu University,FTEs,2011,21614.771
H19,WSU,Walter Sisulu University,Headcounts,2012,24613
H19,WSU,Walter Sisulu University,FTEs,2012,20346.56
H19,WSU,Walter Sisulu University,Headcounts,2013,24122
H19,WSU,Walter Sisulu University,FTEs,2013,19662.209
H19,WSU,Walter Sisulu University,Headcounts,2014,23946
H19,WSU,Walter Sisulu University,FTEs,2014,19607.862
H19,WSU,Walter Sisulu University,Headcounts,2015,25993
H19,WSU,Walter Sisulu University,FTEs,2015,21987.251
H19,WSU,Walter Sisulu University,Headcounts,2016,28581
H19,WSU,Walter Sisulu University,FTEs,2016,24427.637
H20,UWC,University of the Western Cape,Headcounts,2009,16203
H20,UWC,University of the Western Cape,FTEs,2009,12052.8952
H20,UWC,University of the Western Cape,Headcounts,2010,18059
H20,UWC,University of the Western Cape,FTEs,2010,14512.447
H20,UWC,University of the Western Cape,Headcounts,2011,18764
H20,UWC,University of the Western Cape,FTEs,2011,14874.432
H20,UWC,University of the Western Cape,Headcounts,2012,19591
H20,UWC,University of the Western Cape,FTEs,2012,15367
H20,UWC,University of the Western Cape,Headcounts,2013,20383
H20,UWC,University of the Western Cape,FTEs,2013,15977.38
H20,UWC,University of the Western Cape,Headcounts,2014,20582
H20,UWC,University of the Western Cape,FTEs,2014,15708.216
H20,UWC,University of the Western Cape,Headcounts,2015,20382
H20,UWC,University of the Western Cape,FTEs,2015,15512.693
